,title,artist,genre
0,"Hey, Soul Sister",Train,neo mellow
1,Love The Way You Lie,Eminem,detroit hip hop
2,TiK ToK,Kesha,dance pop
3,Bad Romance,Lady Gaga,dance pop
4,Just the Way You Are,Bruno Mars,pop
5,Baby,Justin Bieber,canadian pop
6,Dynamite,Taio Cruz,dance pop
7,Secrets,OneRepublic,dance pop
8,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop
9,Only Girl (In The World),Rihanna,barbadian pop
10,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop
11,Marry You,Bruno Mars,pop
12,Cooler Than Me - Single Mix,Mike Posner,dance pop
13,Telephone,Lady Gaga,dance pop
14,Like A G6,Far East Movement,dance pop
15,OMG (feat. will.i.am),Usher,atl hip hop
16,Eenie Meenie,Sean Kingston,dance pop
17,The Time (Dirty Bit),The Black Eyed Peas,dance pop
18,Alejandro,Lady Gaga,dance pop
19,Your Love Is My Drug,Kesha,dance pop
20,Meet Me Halfway,The Black Eyed Peas,dance pop
21,Whataya Want from Me,Adam Lambert,australian pop
22,Take It Off,Kesha,dance pop
23,Misery,Maroon 5,pop
24,All The Right Moves,OneRepublic,dance pop
25,Animal,Neon Trees,indie pop
26,Naturally,Selena Gomez & The Scene,dance pop
27,I Like It,Enrique Iglesias,dance pop
28,Teenage Dream,Katy Perry,dance pop
29,California Gurls,Katy Perry,dance pop
30,3,Britney Spears,dance pop
31,My First Kiss - feat. Ke$ha,3OH!3,dance pop
32,Blah Blah Blah (feat. 3OH!3),Kesha,dance pop
33,Imma Be,The Black Eyed Peas,dance pop
34,Try Sleeping with a Broken Heart,Alicia Keys,hip pop
35,Sexy Bitch (feat. Akon),David Guetta,dance pop
36,Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop
37,If I Had You,Adam Lambert,australian pop
38,Rock That Body,The Black Eyed Peas,dance pop
39,Dog Days Are Over,Florence + The Machine,art pop
40,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop
41,Doesn't Mean Anything,Alicia Keys,hip pop
42,Hard,Rihanna,barbadian pop
43,Loca,Shakira,colombian pop
44,You Lost Me,Christina Aguilera,dance pop
45,Not Myself Tonight,Christina Aguilera,dance pop
46,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop
47,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop
48,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop
49,Break Your Heart,Taio Cruz,dance pop
50,Hello,Martin Solveig,big room
51,A Thousand Years,Christina Perri,dance pop
52,Someone Like You,Adele,british soul
53,Give Me Everything,Pitbull,dance pop
54,Just the Way You Are,Bruno Mars,pop
55,Rolling in the Deep,Adele,british soul
56,Run the World (Girls),Beyoncé,dance pop
57,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop
58,Love On Top,Beyoncé,dance pop
59,Grenade,Bruno Mars,pop
60,Tonight Tonight,Hot Chelle Rae,dance pop
61,What the Hell,Avril Lavigne,canadian pop
62,Born This Way,Lady Gaga,dance pop
64,Marry You,Bruno Mars,pop
65,Best Thing I Never Had,Beyoncé,dance pop
66,Party Rock Anthem,LMFAO,dance pop
67,We R Who We R,Kesha,dance pop
68,Price Tag,Jessie J,australian pop
69,Good Life,OneRepublic,dance pop
70,Just Cant Get Enough,The Black Eyed Peas,dance pop
71,On The Floor,Jennifer Lopez,dance pop
72,What's My Name?,Rihanna,barbadian pop
73,Yeah 3x,Chris Brown,dance pop
74,Without You (feat. Usher),David Guetta,dance pop
75,Sexy And I Know It,LMFAO,dance pop
76,The Edge Of Glory,Lady Gaga,dance pop
77,E.T.,Katy Perry,dance pop
78,Till the World Ends,Britney Spears,dance pop
79,I Wanna Go,Britney Spears,dance pop
80,Blow,Kesha,dance pop
81,You And I,Lady Gaga,dance pop
82,Judas,Lady Gaga,dance pop
83,Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop
84,Please Don't Go,Mike Posner,dance pop
85,We Found Love,Rihanna,barbadian pop
86,Marry The Night,Lady Gaga,dance pop
87,1+1,Beyoncé,dance pop
88,Hold It Against Me,Britney Spears,dance pop
89,I'm Into You,Jennifer Lopez,dance pop
90,Papi,Jennifer Lopez,dance pop
91,Cheers (Drink To That),Rihanna,barbadian pop
92,S&M Remix,Rihanna,barbadian pop
93,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop
94,Jar of Hearts,Christina Perri,dance pop
95,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop
96,Turning Page,Sleeping At Last,acoustic pop
97,Super Bass,Nicki Minaj,dance pop
98,Raise Your Glass,P!nk,dance pop
99,Invading My Mind,Jennifer Lopez,dance pop
100,Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop
101,Last Friday Night (T.G.I.F.),Katy Perry,dance pop
102,Firework,Katy Perry,dance pop
103,Muny - Album Version (Edited),Nicki Minaj,dance pop
104,Titanium (feat. Sia),David Guetta,dance pop
105,Locked Out of Heaven,Bruno Mars,pop
106,Paradise,Coldplay,permanent wave
107,Payphone,Maroon 5,pop
108,What Makes You Beautiful,One Direction,boy band
109,I Knew You Were Trouble.,Taylor Swift,pop
110,Call Me Maybe,Carly Rae Jepsen,canadian pop
111,Love You Like A Love Song,Selena Gomez & The Scene,dance pop
112,Set Fire to the Rain,Adele,british soul
113,We Are Never Ever Getting Back Together,Taylor Swift,pop
114,Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop
115,Try,P!nk,dance pop
116,Starships,Nicki Minaj,dance pop
117,One More Night,Maroon 5,pop
118,Good Time,Owl City,pop
119,Glad You Came,The Wanted,boy band
120,Beauty And A Beat,Justin Bieber,canadian pop
121,International Love,Pitbull,dance pop
122,Some Nights,fun.,baroque pop
123,Boyfriend,Justin Bieber,canadian pop
124,Part Of Me,Katy Perry,dance pop
125,Domino,Jessie J,australian pop
126,Where Have You Been,Rihanna,barbadian pop
127,Wide Awake,Katy Perry,dance pop
128,The One That Got Away,Katy Perry,dance pop
129,Dance Again,Jennifer Lopez,dance pop
130,Turn Up the Music,Chris Brown,dance pop
131,Lights - Single Version,Ellie Goulding,dance pop
132,We Are Young (feat. Janelle Monáe),fun.,baroque pop
133,Diamonds,Rihanna,barbadian pop
134,Don't Stop the Party (feat. TJR),Pitbull,dance pop
135,You Da One,Rihanna,barbadian pop
136,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop
137,It Will Rain,Bruno Mars,pop
138,Blow Me (One Last Kiss),P!nk,dance pop
139,Underneath the Tree,Kelly Clarkson,dance pop
140,Wake Me Up,Avicii,big room
141,Story of My Life,One Direction,boy band
142,Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop
144,Roar,Katy Perry,dance pop
145,We Can't Stop,Miley Cyrus,dance pop
146,Don't You Worry Child - Radio Edit,Swedish House Mafia,big room
147,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro
148,Wrecking Ball,Miley Cyrus,dance pop
149,Impossible,James Arthur,pop
150,Blurred Lines,Robin Thicke,dance pop
151,Heart Attack,Demi Lovato,dance pop
152,We Are Never Ever Getting Back Together,Taylor Swift,pop
153,Die Young,Kesha,dance pop
154,Clarity,Zedd,complextro
155,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop
156,Under Control,Calvin Harris,dance pop
157,Everybody Talks,Neon Trees,indie pop
158,"Hold On, We're Going Home",Drake,canadian hip hop
159,Best Song Ever,One Direction,boy band
160,Kiss You,One Direction,boy band
161,Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop
162,Lose Yourself to Dance,Daft Punk,electro
163,Work Bitch,Britney Spears,dance pop
164,Brave,Sara Bareilles,acoustic pop
165,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop
166,Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop
167,Beneath Your Beautiful,Labrinth,pop
168,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop
169,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop
170,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop
171,The Way,Ariana Grande,dance pop
172,Suit & Tie,Justin Timberlake,dance pop
173,#thatPOWER,will.i.am,dance pop
174,I Love It (feat. Charli XCX),Icona Pop,candy pop
175,Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop
176,Daylight,Maroon 5,pop
177,Love Somebody,Maroon 5,pop
178,A Little Party Never Killed Nobody (All We Got),Fergie,dance pop
179,Move,Little Mix,dance pop
180,Walks Like Rihanna,The Wanted,boy band
181,Rock N Roll,Avril Lavigne,canadian pop
182,Heartbreaker,Justin Bieber,canadian pop
183,Mirrors - Radio Edit,Justin Timberlake,dance pop
184,Next To Me,Emeli Sandé,dance pop
185,Made In The USA,Demi Lovato,dance pop
186,Clown,Emeli Sandé,dance pop
187,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop
188,TKO,Justin Timberlake,dance pop
189,Come & Get It,Selena Gomez,dance pop
190,Live It Up,Jennifer Lopez,dance pop
191,We Own The Night,The Wanted,boy band
192,Atlas - From The Hunger Games: Catching Fire Soundtrack,Coldplay,permanent wave
193,What About Love,Austin Mahone,dance pop
194,Take Back the Night,Justin Timberlake,dance pop
195,Applause,Lady Gaga,dance pop
196,Anything Could Happen,Ellie Goulding,dance pop
197,Finally Found You,Enrique Iglesias,dance pop
198,Pom Poms,Jonas Brothers,boy band
199,#Beautiful,Mariah Carey,dance pop
200,How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop
201,Crazy Kids (feat. will.i.am),Kesha,dance pop
202,"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop
203,People Like Us,Kelly Clarkson,dance pop
204,Overdose,Ciara,dance pop
205,Right Now - Dyro Radio Edit,Rihanna,barbadian pop
206,Give It 2 U,Robin Thicke,dance pop
208,Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop
209,Freak,Kelly Rowland,atl hip hop
210,All of Me,John Legend,neo mellow
211,Stay With Me,Sam Smith,pop
212,Summer,Calvin Harris,dance pop
213,"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop
214,Rude,MAGIC!,pop
215,Shake It Off,Taylor Swift,pop
216,Dark Horse,Katy Perry,dance pop
217,Hey Brother,Avicii,big room
218,Maps,Maroon 5,pop
219,Treasure,Bruno Mars,pop
220,Let Her Go,Passenger,folk-pop
221,Problem,Ariana Grande,dance pop
223,Team,Lorde,art pop
224,Love Me Again,John Newman,pop
226,Adore You,Miley Cyrus,dance pop
227,Love Never Felt So Good,Michael Jackson,pop
228,Burn,Ellie Goulding,dance pop
229,She Looks So Perfect,5 Seconds of Summer,boy band
231,Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop
232,Gorilla,Bruno Mars,pop
233,human,Christina Perri,dance pop
234,Young Girls,Bruno Mars,pop
235,Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop
236,Love Runs Out,OneRepublic,dance pop
237,This Is How We Do,Katy Perry,dance pop
238,Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop
239,A Little Party Never Killed Nobody (All We Got),Fergie,dance pop
240,#SELFIE,The Chainsmokers,electropop
241,Partition,Beyoncé,dance pop
242,Birthday,Katy Perry,dance pop
243,G.U.Y.,Lady Gaga,dance pop
244,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro
245,"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop
246,Wings,Birdy,neo mellow
247,Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop
248,Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop
249,Say Something,A Great Big World,neo mellow
250,A Sky Full of Stars,Coldplay,permanent wave
251,Come Get It Bae,Pharrell Williams,dance pop
252,Chandelier,Sia,australian dance
253,XO,Beyoncé,dance pop
254,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop
255,Not About Angels,Birdy,neo mellow
256,Drunk in Love,Beyoncé,dance pop
257,Anaconda,Nicki Minaj,dance pop
258,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,candy pop
259,La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop
260,Tee Shirt - Soundtrack Version,Birdy,neo mellow
261,Words as Weapons,Birdy,neo mellow
262,You're Mine (Eternal),Mariah Carey,dance pop
263,Sheezus,Lily Allen,dance pop
265,It's On Again - Main Soundtrack,Alicia Keys,hip pop
266,I Luh Ya Papi,Jennifer Lopez,dance pop
267,Not a Bad Thing,Justin Timberlake,dance pop
268,Thinking out Loud,Ed Sheeran,pop
269,I'm Not The Only One,Sam Smith,pop
270,The Hills,The Weeknd,canadian contemporary r&b
271,Love Yourself,Justin Bieber,canadian pop
272,Uptown Funk,Mark Ronson,dance pop
274,Sugar,Maroon 5,pop
275,Sorry,Justin Bieber,canadian pop
276,FourFiveSeconds,Rihanna,barbadian pop
277,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop
278,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b
279,What Do You Mean?,Justin Bieber,canadian pop
280,Stitches,Shawn Mendes,canadian pop
281,Want to Want Me,Jason Derulo,dance pop
282,My House,Flo Rida,dance pop
283,Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house
284,Night Changes,One Direction,boy band
285,How Deep Is Your Love,Calvin Harris,dance pop
286,Never Forget You,Zara Larsson,dance pop
287,Love Me Harder,Ariana Grande,dance pop
288,Animals,Maroon 5,pop
289,Blame,Calvin Harris,dance pop
290,Worth It,Fifth Harmony,dance pop
291,Break Free,Ariana Grande,dance pop
292,Don't,Ed Sheeran,pop
293,Elastic Heart,Sia,australian dance
294,Rather Be (feat. Jess Glynne),Clean Bandit,dance pop
295,Hello,Adele,british soul
296,Dear Future Husband,Meghan Trainor,dance pop
297,43776,Beyoncé,dance pop
298,The Heart Wants What It Wants,Selena Gomez,dance pop
299,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop
300,Genie In a Bottle,Christina Aguilera,dance pop
301,Company,Justin Bieber,canadian pop
302,Sing,Ed Sheeran,pop
