,title,artist,genre
303,Jealous - Remix,Nick Jonas,dance pop
304,Really Don't Care,Demi Lovato,dance pop
305,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop
306,Only Love Can Hurt Like This,Paloma Faith,british soul
307,Heartbeat Song,Kelly Clarkson,dance pop
308,Up,Olly Murs,dance pop
309,Trumpets,Jason Derulo,dance pop
310,Runnin' (Lose It All),Naughty Boy,tropical house
311,Same Old Love,Selena Gomez,dance pop
312,I Want You To Know,Zedd,complextro
313,Lips Are Movin,Meghan Trainor,dance pop
314,I'll Show You,Justin Bieber,canadian pop
315,Here,Alessia Cara,canadian contemporary r&b
316,I Lived,OneRepublic,dance pop
317,Fireball (feat. John Ryan),Pitbull,dance pop
318,Easy Love,Sigala,dance pop
319,The Feeling,Justin Bieber,canadian pop
320,I Really Like You,Carly Rae Jepsen,canadian pop
321,BO$$,Fifth Harmony,dance pop
322,Sugar,Maroon 5,pop
323,Focus,Ariana Grande,dance pop
324,All About That Bass,Meghan Trainor,dance pop
325,On My Mind,Ellie Goulding,dance pop
326,Love Me Like You,Little Mix,dance pop
327,Broken Arrows,Avicii,big room
328,Booty,Jennifer Lopez,dance pop
329,What Do You Mean? - Acoustic,Justin Bieber,canadian pop
330,Mark My Words,Justin Bieber,canadian pop
331,Lay It All on Me,Rudimental,dance pop
332,American Oxygen,Rihanna,barbadian pop
333,Bang Bang,Jessie J,australian pop
334,Reality - Radio Edit,Lost Frequencies,belgian edm
335,Alive,Sia,australian dance
336,Sugar (feat. Francesco Yates),Robin Schulz,dance pop
337,Been You,Justin Bieber,canadian pop
339,See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop
340,Heroes (we could be),Alesso,big room
341,"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop
342,Perfect,One Direction,boy band
343,Ghosttown,Madonna,dance pop
344,Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop
345,Bloodstream,Ed Sheeran,pop
346,Living For Love,Madonna,dance pop
347,Baby Don't Lie,Gwen Stefani,dance pop
348,Don't Be so Hard on Yourself,Jess Glynne,dance pop
349,Steal My Girl,One Direction,boy band
350,"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop
351,We Are Here,Alicia Keys,hip pop
352,St Jude,Florence + The Machine,art pop
353,Yesterday (feat. Bebe Rexha),David Guetta,dance pop
354,Time of Our Lives,Pitbull,dance pop
355,Sparks,Hilary Duff,dance pop
356,Mr. Put It Down,Ricky Martin,dance pop
357,Legendary Lovers,Katy Perry,dance pop
358,Spark The Fire,Gwen Stefani,dance pop
359,Run Run Run,Kelly Clarkson,dance pop
360,Let Me Be Your Lover,Enrique Iglesias,dance pop
361,Dangerous,Jennifer Hudson,dance pop
362,L.A.LOVE (la la),Fergie,dance pop
363,The Hills,The Weeknd,canadian contemporary r&b
364,Love Yourself,Justin Bieber,canadian pop
365,Cake By The Ocean,DNCE,dance pop
366,Don't Let Me Down,The Chainsmokers,electropop
367,In the Name of Love,Martin Garrix,big room
368,Into You,Ariana Grande,dance pop
369,This Is What You Came For,Calvin Harris,dance pop
370,Million Reasons,Lady Gaga,dance pop
371,Needed Me,Rihanna,barbadian pop
373,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop
374,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop
375,Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b
376,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop
377,Work,Rihanna,barbadian pop
378,Stitches,Shawn Mendes,canadian pop
379,"Me, Myself & I",G-Eazy,hip hop
380,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop
381,Dangerous Woman,Ariana Grande,dance pop
382,Starving,Hailee Steinfeld,dance pop
383,Shout Out to My Ex,Little Mix,dance pop
384,Electric Love,BØRNS,electropop
385,Confident,Demi Lovato,dance pop
386,Too Good,Drake,canadian hip hop
387,Roses,The Chainsmokers,electropop
388,Cold Water (feat. Justin Bieber & MØ),Major Lazer,dance pop
389,Me Too,Meghan Trainor,dance pop
390,Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,dance pop
391,Ain't Your Mama,Jennifer Lopez,dance pop
392,Close,Nick Jonas,dance pop
393,Toothbrush,DNCE,dance pop
394,All We Know,The Chainsmokers,electropop
395,Final Song,MØ,dance pop
396,Company,Justin Bieber,canadian pop
397,Hands To Myself,Selena Gomez,dance pop
398,All I Ask,Adele,british soul
399,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop
400,NO,Meghan Trainor,dance pop
401,Kill Em With Kindness,Selena Gomez,dance pop
402,Cool Girl,Tove Lo,dance pop
403,Runnin' (Lose It All),Naughty Boy,tropical house
404,Here,Alessia Cara,canadian contemporary r&b
405,Perfect Illusion,Lady Gaga,dance pop
406,PILLOWTALK,ZAYN,dance pop
407,Out Of The Woods,Taylor Swift,pop
408,Rise,Katy Perry,dance pop
409,Wherever I Go,OneRepublic,dance pop
410,Body Say,Demi Lovato,dance pop
411,Don't Be A Fool,Shawn Mendes,canadian pop
412,LIKE I WOULD,ZAYN,dance pop
413,Cheap Thrills,Sia,australian dance
414,I Got You,Bebe Rexha,dance pop
415,Run Away With Me,Carly Rae Jepsen,canadian pop
416,Cruel (feat. ZAYN),Snakehips,dance pop
417,Send My Love (To Your New Lover),Adele,british soul
418,WTF (Where They From),Missy Elliott,dance pop
419,Desire,Years & Years,dance pop
420,When We Were Young,Adele,british soul
421,I Know What You Did Last Summer,Shawn Mendes,canadian pop
422,Wish That You Were Here - From Miss Peregrines Home for Peculiar Children Original Motion Picture,Florence + The Machine,art pop
423,Hurts,Emeli Sandé,dance pop
424,Change,Christina Aguilera,dance pop
425,Make Me... (feat. G-Eazy),Britney Spears,dance pop
426,Keeping Your Head Up,Birdy,neo mellow
427,True Colors,Zedd,complextro
428,Make Me Like You,Gwen Stefani,dance pop
429,Champagne Problems,Nick Jonas,dance pop
430,Blown,DNCE,dance pop
431,Start,John Legend,neo mellow
432,Pep Rally,Missy Elliott,dance pop
433,Higher,Carly Rae Jepsen,canadian pop
434,Invitation,Britney Spears,dance pop
435,One Call Away (feat. Tyga) - Remix,Charlie Puth,dance pop
436,Beautiful Birds (feat. Birdy),Passenger,folk-pop
437,Little Lies,Hilary Duff,dance pop
438,Do You Wanna Come Over?,Britney Spears,dance pop
439,BURNITUP!,Janet Jackson,dance pop
440,Picky - Remix,Joey Montana,latin
442,Million Years Ago,Adele,british soul
443,Shape of You,Ed Sheeran,pop
444,Closer,The Chainsmokers,electropop
445,Starboy,The Weeknd,canadian contemporary r&b
446,Treat You Better,Shawn Mendes,canadian pop
447,That's What I Like,Bruno Mars,pop
448,Let Me Love You,DJ Snake,electronic trap
449,I Feel It Coming,The Weeknd,canadian contemporary r&b
450,Mercy,Shawn Mendes,canadian pop
451,Side To Side,Ariana Grande,dance pop
452,Stay,Zedd,complextro
453,It Ain't Me (with Selena Gomez),Kygo,edm
454,Malibu,Miley Cyrus,dance pop
455,Something Just Like This,The Chainsmokers,electropop
456,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop
457,I Dont Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop
458,My Way,Calvin Harris,dance pop
459,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop
460,Praying,Kesha,dance pop
461,Despacito - Remix,Luis Fonsi,latin
462,The Greatest,Sia,australian dance
463,There for You,Martin Garrix,big room
464,Paris,The Chainsmokers,electropop
465,Crying in the Club,Camila Cabello,dance pop
466,Mama,Jonas Blue,dance pop
467,Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop
468,Swish Swish,Katy Perry,dance pop
469,Chained To The Rhythm,Katy Perry,dance pop
470,Cold (feat. Future),Maroon 5,pop
471,Love,Lana Del Rey,art pop
472,Reggaetón Lento (Remix),CNCO,boy band
473,All I Ask,Adele,british soul
474,First Time,Kygo,edm
475,The Cure,Lady Gaga,dance pop
476,"How Far I'll Go - From ""Moana""",Alessia Cara,canadian contemporary r&b
477,Bodak Yellow,Cardi B,pop
478,Rich Love (with Seeb),OneRepublic,dance pop
480,Came Here for Love,Sigala,dance pop
481,24K Magic,Bruno Mars,pop
482,Strip That Down (feat. Quavo),Liam Payne,dance pop
483,Cut To The Feeling,Carly Rae Jepsen,canadian pop
484,OK - Spotify Version,Robin Schulz,dance pop
485,Bon appétit,Katy Perry,dance pop
486,Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,art pop
487,Get Low (with Liam Payne),Zedd,complextro
488,Kissing Strangers,DNCE,dance pop
489,Slow Hands,Niall Horan,dance pop
490,Younger Now,Miley Cyrus,dance pop
491,Body Moves,DNCE,dance pop
492,Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,belgian edm
493,Angel,Fifth Harmony,dance pop
494,Touch (feat. Kid Ink),Little Mix,dance pop
495,We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop
496,Love Incredible (feat. Camila Cabello),Cashmere Cat,downtempo
497,No Vacancy (with Sebastián Yatra),OneRepublic,dance pop
498,Rich Boy,Galantis,big room
499,Lust for Life (with The Weeknd),Lana Del Rey,art pop
500,Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,dance pop
501,Influence,Tove Lo,dance pop
502,Remember I Told You,Nick Jonas,dance pop
503,Messin' Around,Pitbull,dance pop
504,Water Under the Bridge,Adele,british soul
505,Free Me,Sia,australian dance
506,Kissing Strangers - Remix,DNCE,dance pop
507,A L I E N S,Coldplay,permanent wave
508,One Kiss (with Dua Lipa),Calvin Harris,dance pop
509,Havana (feat. Young Thug),Camila Cabello,dance pop
510,I Like It,Cardi B,pop
511,New Rules,Dua Lipa,dance pop
512,There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop
513,no tears left to cry,Ariana Grande,dance pop
514,IDGAF,Dua Lipa,dance pop
515,In My Blood,Shawn Mendes,canadian pop
516,Wolves,Selena Gomez,dance pop
517,Dusk Till Dawn - Radio Edit,ZAYN,dance pop
518,Attention,Charlie Puth,dance pop
519,Electricity (with Dua Lipa),Silk City,edm
520,Love On The Brain,Rihanna,barbadian pop
521,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop
522,Silence,Marshmello,brostep
523,Sorry Not Sorry,Demi Lovato,dance pop
524,Shallow - Radio Edit,Lady Gaga,dance pop
525,These Days,Rudimental,dance pop
526,What Lovers Do (feat. SZA),Maroon 5,pop
527,Finesse - Remix; feat. Cardi B,Bruno Mars,pop
528,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,pop
529,Bad At Love,Halsey,dance pop
530,Him & I (with Halsey),G-Eazy,hip hop
531,Friends (with BloodPop®),Justin Bieber,canadian pop
532,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop
533,My My My!,Troye Sivan,dance pop
534,Capital Letters,Hailee Steinfeld,dance pop
535,Sick Boy,The Chainsmokers,electropop
537,Look What You Made Me Do,Taylor Swift,pop
538,Youth (feat. Khalid),Shawn Mendes,canadian pop
539,Bad Liar,Selena Gomez,dance pop
540,Anywhere,Rita Ora,dance pop
541,Say Something,Justin Timberlake,dance pop
542,Chun-Li,Nicki Minaj,dance pop
543,Sign of the Times,Harry Styles,dance pop
544,Familiar,Liam Payne,dance pop
545,Let Me,ZAYN,dance pop
546,Supernova,Ansel Elgort,dance pop
547,Nervous,Shawn Mendes,canadian pop
548,First Time,Kygo,edm
549,End Game,Taylor Swift,pop
550,Mi Gente (feat. Beyoncé),J Balvin,latin
551,Lemon,N.E.R.D,hip hop
552,For You (With Rita Ora),Liam Payne,dance pop
553,Want To,Dua Lipa,dance pop
554,What I Need (feat. Kehlani),Hayley Kiyoko,dance pop
555,Wait,Maroon 5,pop
556,What About Us,P!nk,dance pop
557,Kissing Strangers,DNCE,dance pop
558,2U (feat. Justin Bieber),David Guetta,dance pop
559,Walk On Water (feat. Beyoncé),Eminem,detroit hip hop
560,This Town,Niall Horan,dance pop
561,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,dance pop
562,MOVE TO MIAMI,Enrique Iglesias,dance pop
563,Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,downtempo
564,Filthy,Justin Timberlake,dance pop
565,Never Be the Same - Radio Edit,Camila Cabello,dance pop
566,Ferrari,Bebe Rexha,dance pop
567,Supplies,Justin Timberlake,dance pop
569,...Ready For It? - BloodPop® Remix,Taylor Swift,pop
570,Drip (feat. Migos),Cardi B,pop
571,Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop
572,Memories,Maroon 5,pop
573,Lose You To Love Me,Selena Gomez,dance pop
574,Someone You Loved,Lewis Capaldi,pop
575,Señorita,Shawn Mendes,canadian pop
576,How Do You Sleep?,Sam Smith,pop
577,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop
578,Trampoline (with ZAYN),SHAED,electropop
579,Happier,Marshmello,brostep
580,Truth Hurts,Lizzo,escape room
581,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room
582,Higher Love,Kygo,edm
583,Only Human,Jonas Brothers,boy band
584,Beautiful People (feat. Khalid),Ed Sheeran,pop
585,Sucker,Jonas Brothers,boy band
586,Don't Call Me Up,Mabel,dance pop
587,I Don't Care (with Justin Bieber),Ed Sheeran,pop
589,Giant (with Rag'n'Bone Man),Calvin Harris,dance pop
590,Takeaway,The Chainsmokers,electropop
591,All Around The World (La La La),R3HAB,big room
592,Girls Like You (feat. Cardi B),Maroon 5,pop
593,Call You Mine,The Chainsmokers,electropop
594,No Guidance (feat. Drake),Chris Brown,dance pop
595,Antisocial (with Travis Scott),Ed Sheeran,pop
596,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap
597,Con Calma - Remix,Daddy Yankee,latin
598,Find U Again (feat. Camila Cabello),Mark Ronson,dance pop
599,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop
600,"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,dance pop
601,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop
602,Kills You Slowly,The Chainsmokers,electropop
